Name,S1 Clan,S2 Clan,S3 Clan
Shanker Mike,A,A,A
Anthony,A,B,E
Ace,E,C,C
Getinthehole,C,A,C
The Mate,B,B,B
BallBoy534,C,C,A
Scott,C,B,B
Bones,A,A,A
Jason,None,G,None
I,None,None,G
Not Sure,F,E,C
Justin,C,B,B
Hendrix,A,C,B
TeeTime,C,B,D
RTR Bama,C,B,B
Dark Side,None,None,None
Beaner,B,B,B
Daddy T x 3,None,None,None
Beeferclaus,A,A,A
Tyler,F,F,F
Darlene,E,C,C
FrayBentos,D,C,C
明毅,B,F,F
XGC Loaded,B,F,F
Andy|K,B,D,D
Randy,A,A,A
D Dot Doug,G,F,E
Pat,F,E,E
Del,F,E,D
Frouimet,F,G,G
Chris,A,A,B
Udunngoe,E,E,E
Zephyr,A,E,E
Geoff,D,B,D
Stephen,E,E,None
Walter,E,E,E
Chris,E,A,A
Sneppahtihs,None,None,C
Mike,None,None,None
Quacky,E,A,B
Andrew,E,G,G
La Donco,G,C,E
Daniel,D,D,None
Ty Webb,G,F,F
Larry,E,C,C
Will,A,A,A
Hollywood,A,F,None
Larry Don,G,D,D
Gary,D,C,None
Schwabby78,G,F,F
Derick,C,B,B
Gerhard,D,G,G
Mike,B,F,F
Duggan,None,None,F
Tim,D,C,C
Burr,None,G,G
Bryan,C,G,G
Walt,G,F,F
Baron,A,A,A
Vegas Rose,None,None,F
Undertaker,B,F,F
Moises,A,B,E
Jon,C,B,B
Josh,G,A,A
Bean,None,None,G
Kat,None,B,B
The Phoenix,D,D,E
Michelle,C,B,B
NeoDawg,C,B,B
Brad H,D,C,F
Kenny,B,C,C
Tim,G,B,B
Paul,E,B,B
Rob,B,C,C
Lauras,G,G,G
NapoleonSolo,D,F,F
Benn Dover,F,F,None
Alex,None,None,F
Grip-n-Rip,F,A,D
Teddy13,C,G,G
Care,C,D,D
Brainiac,B,F,F
Craig,None,G,G
Brian,D,C,C
Ty Webb,A,A,A
Andrew,A,B,B
Law,A,A,None
Gwo,D,A,A
Slumerican,B,F,F
DLB,B,B,B
John P,C,F,F
Ben,G,A,A
Bruce,A,D,D
Ron,B,B,B
Shooter,E,B,B
Flash Clash,G,F,D
Sam,E,C,C
Warren,F,D,None
Michael,C,D,D
Venician,A,A,A
Trouble Boy,H,G,B
Tanstaafl,B,E,None
Delroy,D,C,C
Charles,A,D,D
Ty Webb,G,G,G
Ghost,E,C,C
Studnitz,E,D,C
Dalton,F,F,F
Tee-1000,A,B,B
James,E,G,G
Jochen,H,G,B
Andy G,D,E,D
Tom,B,E,E
Bill,G,E,E
Bunkerseeker,G,C,None
HoneyB,C,B,B
Ricko,F,F,F
Charles,D,D,None
Jason,None,G,None
Jay Enright,F,C,F
Shao-Ting,G,F,F
ANewName,D,G,G
Ido Haiku,E,D,D
MrPWest,A,E,E
Jörgen,A,A,A
Luis,B,B,B
Virus,C,D,D
Jok3r,None,C,C
Amanda,B,D,D
Quackerjack,None,None,None
Darrin,B,D,D
FredM IV,H,F,F
Tin Cup,D,D,D
Cliff,E,E,E
Oh Henrik,D,B,A
Derek,D,A,A
Awsungawd,G,G,G
Crash Davis,A,E,None
Myst,C,F,F
JB,None,G,G
Gizmo,None,G,G
Bryantm,None,D,C
Ferchu,None,None,C
Badguest,B,F,F
Ray,G,F,D
The Hobbster,D,C,C
Gee,F,F,F
YankeeJoe,None,None,G
Joel,C,E,E
Fly Away,F,F,F
Justin,C,B,B
Luis,B,B,A
Da' Man,H,F,F
Jennifer,None,G,D
MerdeLadop,A,C,C
Bradley,D,A,A
Eugene,E,F,F
RobertGoulet,B,D,D
Hookslice,E,B,B
Craig,G,E,E
Becca,C,A,B
Mike the 3rd,None,None,E
Fred M.....,D,C,E
Blackandblue,None,E,E
Zack,D,A,A
Robert,E,C,C
Cuse33,E,D,D
Paul,D,C,A
Harris,F,E,E
Philip,B,C,C
John,C,B,B
Scott,H,A,A
Deek,None,None,G
Maverick,G,G,G
Joel,A,A,A
Buckeye45,D,F,E
Beaven,E,C,A
Michael,A,A,A
Hobart,G,G,G
ButtonButton,B,B,B
Gerd B Clash,None,G,G
Tom,C,G,G
Mike,C,E,C
Tommy,C,F,F
Kkimmes,F,G,None
Jack,A,C,C
Chris,C,F,F
Rory,E,B,E
James G,E,A,A
Tom,E,E,E
Hawk,B,A,None
⛳Matthew⛳,D,A,A
Matt,A,A,A
Sketch,A,F,F
Olddog,E,F,F
Keyser Söze,G,A,A
Jeangulmanut,None,D,G
Les,A,F,None
Peter,None,G,C
Hamish,G,E,E
David,E,D,D
Dave,B,A,A
Julio,A,D,B
Daddy T,None,None,None
Russell,D,E,E
Jhorn,None,None,G
Grip-n-Rip3,None,None,G
Prion,F,E,C
Venician2,B,B,B
Open Man,None,None,G
Cornholio,E,B,B
Rob,B,F,F
Lock2,G,E,E
Dick,A,F,None
Tee Time,D,B,B
Jon Snow,E,D,D
ZipperZipper,F,C,C
Bryan_Lock1,H,E,E
ΠΑΟΚ,D,C,C
Nick,A,A,A
BallKiller85,F,D,F
Dominic,F,E,E
Skadoosh,D,A,A
Portaguee,C,D,D
Tin Cup,B,C,A
Daddy T x 2,None,None,None
Chad,B,B,D
BruceLee1976,D,A,A
Gerd-Clash,None,G,G
Bink,A,D,D
Hawk,None,C,None
Edward,B,E,E
Miles...,None,G,G
Rassa,C,D,D
Noonan!,C,C,B
Kyle,B,B,B
Pod,None,G,G
Big Hampton,D,E,E
GC-Russ,G,E,F
Olddog62,E,E,E
Dan C.,E,C,C
Michael,None,None,D
Steve,C,D,D
Ty Webb,C,B,B
Stephen,G,B,A
Overreaction,D,E,F
Free.Rider,G,C,None
Shanker,F,C,C
Bohica,F,B,B
Go Blue TB12,D,C,C
Zemanch,F,E,C
Richard,E,G,G
Zoey,G,D,D
Jim,E,D,D
InDaHole,A,C,C
OhYeah,C,B,B
Amber,H,E,E
TaylorMade,B,F,F
Anthony,C,G,G
Mike,B,E,E
Bust'n Balls,D,E,D
F. Ouimet,C,A,B
MinH,F,B,B
Clint,D,F,F
Betheball,None,None,G
KC GC,F,C,C
Foot Wedge $,D,E,C
Kevin,A,A,A
Velcro Balls,None,None,None
GolfPlumber,G,D,D
#GoBlue,B,E,E
Dregoboss,E,E,E
Neal2,None,None,E
Albi Seeker,E,G,G
Chrissy,D,G,G
Karl,None,G,None
Dave,E,G,G
Mini-me,None,None,F
Jake,A,D,C
D.J,G,E,E
Bobby,A,A,A
King,A,A,None
Jethro,G,D,D
Smiles,A,D,E
BlackCaesar,B,F,F
Joseph,F,D,C
Bernadette,F,C,G
LaffertyDan,G,F,E
#coachp,G,D,C
Michael,B,E,E
Rob,None,None,G
Forrest,C,D,E
DP,B,B,B
BallCrusher,E,D,D
Joe,B,D,D
Juan Centavo,B,C,C
GC Robert,A,C,C
KatBClashin,C,G,B
Poppy,A,A,A
Craig,C,C,C
Jay,A,B,B
Scott,None,G,C
Keyser Soze,G,G,C
Ghost Pepper,C,D,D
Poppa Mupp,G,F,D
