Name,S1 Clan,S2 Clan,S3 Clan,S4 Clan
Shanker Mike,A,A,A,A
Anthony,A,B,E,F
Ace,E,C,C,C
Getinthehole,C,A,C,C
The Mate,B,B,B,B
BallBoy534,C,C,A,A
Scott,C,B,B,B
Longshanks,None,None,None,G
Bones,A,A,A,A
Jason,None,G,None,None
I,None,None,G,G
Not Sure,F,E,C,C
Justin,C,B,B,None
Hendrix,A,C,B,None
TeeTime,C,B,D,G
RTR Bama,C,B,B,B
Dark Side,None,None,None,A
Beaner,B,B,B,B
Daddy T x 3,None,None,None,E
Beeferclaus,A,A,A,A
Tyler,F,F,F,D
Darlene,E,C,C,B
FrayBentos,D,C,C,E
明毅,B,F,F,F
XGC Loaded,B,F,F,F
Andy|K,B,D,D,D
Randy,A,A,A,A
D Dot Doug,G,F,E,E
Pat,F,E,E,E
Del,F,E,D,D
Frouimet,F,G,G,G
Chris,A,A,B,B
Udunngoe,E,E,E,E
Zephyr,A,E,E,D
Geoff,D,B,D,D
Stephen,E,E,None,None
Walter,E,E,E,D
Chris,E,A,A,A
Sneppahtihs,None,None,C,B
Mike,None,None,None,A
Quacky,E,A,B,B
Ours,None,None,None,B
Andrew,E,G,G,G
La Donco,G,C,E,E
Daniel,D,D,None,None
Ty Webb,G,F,F,F
Larry,E,C,C,D
Will,A,A,A,A
Hollywood,A,F,None,None
Larry Don,G,D,D,None
Gary,D,C,None,None
Schwabby78,G,F,F,F
Derick,C,B,B,B
Gerhard,D,G,G,G
Mike,B,F,F,D
Duggan,None,None,F,F
Tim,D,C,C,C
Burr,None,G,G,G
Bryan,C,G,G,G
Walt,G,F,F,C
Baron,A,A,A,A
Vegas Rose,None,None,F,F
Undertaker,B,F,F,F
Moises,A,B,E,G
Jon,C,B,B,None
Josh,G,A,A,A
Bean,None,None,G,G
Kat,None,B,B,B
The Phoenix,D,D,E,F
Michelle,C,B,B,B
NeoDawg,C,B,B,D
guest59,None,None,None,None
Brad H,D,C,F,F
Kenny,B,C,C,C
Tim,G,B,B,B
Paul,E,B,B,B
Rob,B,C,C,C
Lauras,G,G,G,None
NapoleonSolo,D,F,F,F
Benn Dover,F,F,None,None
Alex,None,None,F,None
Grip-n-Rip,F,A,D,D
Teddy13,C,G,G,G
Care,C,D,D,F
Brainiac,B,F,F,F
Craig,None,G,G,G
Brian,D,C,C,G
Ty Webb,A,A,A,A
Andrew,A,B,B,B
Law,A,A,None,None
Gwo,D,A,A,A
Slumerican,B,F,F,D
DLB,B,B,B,A
John P,C,F,F,F
Ben,G,A,A,A
Bruce,A,D,D,D
Ron,B,B,B,B
Shooter,E,B,B,B
Flash Clash,G,F,D,D
Sam,E,C,C,E
Warren,F,D,None,None
Michael,C,D,D,D
Venician,A,A,A,None
Trouble Boy,H,G,B,B
Tanstaafl,B,E,None,None
Delroy,D,C,C,C
Charles,A,D,D,C
Ty Webb,G,G,G,G
Ghost,E,C,C,B
Studnitz,E,D,C,C
Dalton,F,F,F,C
Tee-1000,A,B,B,B
James,E,G,G,G
Jochen,H,G,B,A
Rory,None,None,None,F
Andy G,D,E,D,D
Tom,B,E,E,E
Bill,G,E,E,E
Bunkerseeker,G,C,None,None
HoneyB,C,B,B,B
Ricko,F,F,F,F
Charles,D,D,None,None
Jason,None,G,None,None
Jay Enright,F,C,F,F
Shao-Ting,G,F,F,F
ANewName,D,G,G,G
Ido Haiku,E,D,D,F
MrPWest,A,E,E,E
Jörgen,A,A,A,A
Luis,B,B,B,B
Virus,C,D,D,D
CaptPancakes,None,None,None,None
Jok3r,None,C,C,None
Amanda,B,D,D,C
Quackerjack,None,None,None,B
Darrin,B,D,D,None
FredM IV,H,F,F,F
Kernal,None,None,None,None
Tin Cup,D,D,D,C
Cliff,E,E,E,None
Oh Henrik,D,B,A,A
Derek,D,A,A,A
Awsungawd,G,G,G,G
Crash Davis,A,E,None,None
Myst,C,F,F,E
JB,None,G,G,G
Gizmo,None,G,G,G
Bryantm,None,D,C,B
Ferchu,None,None,C,E
Badguest,B,F,F,F
Ray,G,F,D,D
The Hobbster,D,C,C,C
Gee,F,F,F,None
YankeeJoe,None,None,G,E
Joel,C,E,E,E
Fly Away,F,F,F,F
Justin,C,B,B,None
Luis,B,B,A,A
Da' Man,H,F,F,G
Jennifer,None,G,D,D
MerdeLadop,A,C,C,C
Bradley,D,A,A,A
Eugene,E,F,F,F
RobertGoulet,B,D,D,E
Hookslice,E,B,B,B
Craig,G,E,E,D
Becca,C,A,B,C
Mike the 3rd,None,None,E,F
Fred M.....,D,C,E,E
Blackandblue,None,E,E,D
Zack,D,A,A,B
Robert,E,C,C,C
Cuse33,E,D,D,D
Paul,D,C,A,A
Harris,F,E,E,F
Philip,B,C,C,C
