Name,S1 Clan,S2 Clan,S3 Clan,S4 Clan,S5 Clan,S6 Clan
Shanker Mike,A,A,A,A,A,WPU
Anthony,A,B,E,F,D,E
Ace,E,C,C,C,C,B
Getinthehole,C,A,C,C,None,None
The Mate,B,B,B,B,B,A
BallBoy534,C,C,A,A,A,A
Scott,C,B,B,B,B,A
Longshanks,None,None,None,G,G,F
Bones,A,A,A,A,A,WPU
Jason,None,G,None,None,None,None
I,None,None,G,G,G,F
Not Sure,F,E,C,C,C,C
Justin,C,B,B,None,None,None
Hendrix,A,C,B,None,None,None
TeeTime,C,B,D,G,C,E
RTR Bama,C,B,B,B,B,B
Law,A,A,None,A,None,WPU
Beaner,B,B,B,B,B,B
Daddy T x 3,None,None,None,E,None,None
Beeferclaus,A,A,A,A,None,None
Tyler,F,F,F,D,E,D
Darlene,E,C,C,B,B,B
FrayBentos,D,C,C,E,D,C
明毅,B,F,F,F,E,C
XGC Loaded,B,F,F,F,F,F
Andy|K,B,D,D,D,D,D
Randy,A,A,A,A,A,A
D Dot Doug,G,F,E,E,E,E
Pat,F,E,E,E,D,C
Del,F,E,D,D,C,C
Jimmy,0,0,0,0,0,G
Frouimet,F,G,G,G,F,F
Chris,A,A,B,B,B,A
Udunngoe,E,E,E,E,None,None
Zephyr,A,E,E,D,B,B
Geoff,D,B,D,D,C,B
Stephen,E,E,None,None,None,None
Walter,E,E,E,D,C,C
Chris,E,A,A,A,A,WPU
Sneppahtihs,None,None,C,B,B,A
Mike,None,None,None,A,None,None
Quacky,E,A,B,B,B,A
Ours,None,None,None,B,A,A
Andrew,E,G,G,G,None,None
La Donco,G,C,E,E,D,D
Daniel,D,D,None,None,D,C
Ty Webb,G,F,F,F,F,E
Larry,E,C,C,D,C,C
Will,A,A,A,A,A,A
Hollywood,A,F,None,None,None,None
Larry Don,G,D,D,None,B,E
Gary,D,C,None,None,None,None
Schwabby78,G,F,F,F,F,E
Jack,None,None,None,None,None,E
Derick,C,B,B,B,B,B
Gerhard,D,G,G,G,None,None
Mike,B,F,F,D,E,D
Duggan,None,None,F,F,E,C
Tim,D,C,C,C,C,B
Burr,None,G,G,G,D,D
Bryan,C,G,G,G,F,F
Walt,G,F,F,C,C,C
Baron,A,A,A,A,A,A
Vegas Rose,None,None,F,F,C,None
Undertaker,B,F,F,F,E,E
Moises,A,B,E,G,C,F
ABooGie,0,0,0,0,D,None
Jon,C,B,B,None,None,None
Josh,G,A,A,A,A,A
Bean,None,None,G,G,G,D
Kat,None,B,B,B,D,B
The Phoenix,D,D,E,F,F,None
Barney,0,0,0,0,G,F
Michelle,C,B,B,B,B,B
NeoDawg,C,B,B,D,B,B
guest59,None,None,None,None,G,D
Moises GC,None,None,None,None,None,F
Brad H,D,C,F,F,E,E
Tin Cup Trev,None,None,None,None,None,E
Kenny,B,C,C,C,C,C
Tim,G,B,B,B,B,B
Paul,E,B,B,B,B,A
Rob,B,C,C,C,C,C
Lauras,G,G,G,None,None,None
NapoleonSolo,D,F,F,F,F,E
Benn Dover,F,F,None,None,None,None
Alex,None,None,F,None,None,None
Grip-n-Rip,F,A,D,D,D,C
Teddy13,C,G,G,G,G,F
Care,C,D,D,F,E,E
Brainiac,B,F,F,F,F,E
Craig,None,G,G,G,G,None
Brian,D,C,C,G,None,None
Ty Webb,A,A,A,A,A,None
Andrew,A,B,B,B,A,A
Ben,None,None,None,None,None,F
RichDolla,0,0,0,0,0,WPU
Law,None,None,None,None,None,None
Gwo,D,A,A,A,None,None
Slumerican,B,F,F,D,E,D
DLB,B,B,B,A,B,A
John P,C,F,F,F,None,None
Ben,G,A,A,A,A,None
Bruce,A,D,D,D,D,C
Dylan,0,0,0,0,A,A
Ron,B,B,B,B,B,B
Shooter,E,B,B,B,B,B
Flash Clash,G,F,D,D,E,D
Sam,E,C,C,E,D,D
Warren,F,D,None,None,None,None
Michael,C,D,D,D,E,D
Venician,A,A,A,None,None,None
Trouble Boy,H,G,B,B,None,None
Tanstaafl,B,E,None,None,None,None
Delroy,D,C,C,C,C,C
Charles,A,D,D,C,C,B
Ty Webb,G,G,G,G,F,F
Ghost,E,C,C,B,A,None
Studnitz,E,D,C,C,C,B
Dalton,F,F,F,C,C,B
Tee-1000,A,B,B,B,B,B
James,E,G,G,G,None,None
Jochen,H,G,B,A,D,B
Rory,None,None,None,F,F,D
Andy G,D,E,D,D,D,C
Tom,B,E,E,E,D,C
Bill,G,E,E,E,D,C
Bunkerseeker,G,C,None,None,None,None
HoneyB,C,B,B,B,B,None
Ricko,F,F,F,F,F,E
Charles,D,D,None,None,None,None
Jason,None,G,None,None,None,None
Jay Enright,F,C,F,F,D,B
Shao-Ting,G,F,F,F,F,F
